sku,name,category,brand,brand_country,manufacturer_code,alternative_markings,manufacturing_country,price,stock_qty,stock_is_tracked,availability_status,short_description,description,image_url,require_prepayment,cod_allowed,category_require_prepayment,category_cod_allowed,subtype,inner_diameter_mm,outer_diameter_mm,width_mm,rows,cage_type,bearing_seal_type,clearance,precision_class,belt_type,profile,length_mm,belt_width_mm,seal_type,seal_inner_diameter_mm,seal_outer_diameter_mm,seal_width_mm,material,lip_type,lubricant_type,viscosity,base_type,package_size,temperature_range
TB-BRG-01299,51309 FAG,bearings,FAG,Німеччина,51309 FAG,,,940.81,0,false,in_stock,Упорний кульковий. Маркування: 51309 FAG.,,,,,,,упорний кульковий,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01300,51310 FAG,bearings,FAG,Німеччина,51310 FAG,,,1440.0,0,false,in_stock,Упорний кульковий. Маркування: 51310 FAG.,,,,,,,упорний кульковий,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01301,51311 FAG,bearings,FAG,Німеччина,51311 FAG,,,1859.73,0,false,in_stock,Упорний кульковий. Маркування: 51311 FAG.,,,,,,,упорний кульковий,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01302,51320 M,bearings,,,51320 M,,,8400.0,0,false,in_stock,Упорний кульковий. Маркування: 51320 M.,,,,,,,упорний кульковий,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01303,51405,bearings,,,51405,,,343.98,0,false,in_stock,Упорний кульковий. Маркування: 51405.,,,,,,,упорний кульковий,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01304,5201 ZZ,bearings,,,5201 ZZ,,,536.05,0,false,in_stock,Підшипник. Маркування: 5201 ZZ.,,,,,,,підшипник,,,,,,ZZ,,,,,,,,,,,,,,,,,
TB-BRG-01305,5202 KDDU,bearings,,,5202 KDDU,,,812.33,0,false,in_stock,Підшипник. Маркування: 5202 KDDU.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01306,5203 KYY2*А,bearings,Китай,Китай,5203 KYY2*А,,Китай,150.0,0,false,in_stock,Підшипник. Маркування: 5203 KYY2*А.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01307,5204 PY3,bearings,,,5204 PY3,,,350.6,0,false,in_stock,Підшипник. Маркування: 5204 PY3.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01308,544741В,bearings,,,544741В,,,1786.21,0,false,in_stock,Підшипник. Маркування: 544741В.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01309,544872,bearings,,,544872,,,882.0,0,false,in_stock,Підшипник. Маркування: 544872.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01310,555102 PF,bearings,,,555102 PF,,,1058.4,0,false,in_stock,Підшипник. Маркування: 555102 PF.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01311,F-555806-0041,bearings,,,F-555806-0041,,,536.4,0,false,in_stock,Підшипник. Маркування: F-555806-0041.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01312,558683 F,bearings,,,558683 F,,,965.79,0,false,in_stock,Підшипник. Маркування: 558683 F.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01313,F-562024,bearings,,,F-562024,,,767.34,0,false,in_stock,Підшипник. Маркування: F-562024.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01314,F-562226.01,bearings,,,F-562226.01,,,1137.78,0,false,in_stock,Підшипник. Маркування: F-562226.01.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01315,564583,bearings,,,564583,,,1680.0,0,false,in_stock,Підшипник. Маркування: 564583.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01316,F-582061/F-563624,bearings,,,F-582061/F-563624,,,2315.25,0,false,in_stock,Підшипник. Маркування: F-582061/F-563624.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01317,5TM-SF 4903 PX1,bearings,,,5TM-SF 4903 PX1,,,26460.0,0,false,in_stock,Підшипник. Маркування: 5TM-SF 4903 PX1.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01318,62/22/23 PFI,bearings,PFI,США,62/22/23 PFI,,,302.4,0,false,in_stock,Підшипник. Маркування: 62/22/23 PFI.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01319,623/22 LLUA/222,bearings,,,623/22 LLUA/222,,,674.73,0,false,in_stock,Підшипник. Маркування: 623/22 LLUA/222.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01320,63/23 AC,bearings,,,63/23 AC,,,597.31,0,false,in_stock,Підшипник. Маркування: 63/23 AC.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01321,7012,bearings,,,7012,,,7938.0,0,false,in_stock,Підшипник. Маркування: 7012.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01322,7015,bearings,,,7015,,,1323.0,0,false,in_stock,Підшипник. Маркування: 7015.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01323,7203 BEP,bearings,,,7203 BEP,,,423.36,0,false,in_stock,Радіально-упорний. Маркування: 7203 BEP.,,,,,,,радіально-упорний,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01324,7204 BEP,bearings,,,7204 BEP,,,604.8,0,false,in_stock,Радіально-упорний. Маркування: 7204 BEP.,,,,,,,радіально-упорний,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01325,7205 В(46205) Kinex,bearings,Kinex,Словаччина,7205 В(46205) Kinex,,,218.3,0,false,in_stock,Радіально-упорний. Маркування: 7205 В(46205) Kinex.,,,,,,,радіально-упорний,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01326,7206 B(46206) Kinex,bearings,Kinex,Словаччина,7206 B(46206) Kinex,,,276.0,0,false,in_stock,Радіально-упорний. Маркування: 7206 B(46206) Kinex.,,,,,,,радіально-упорний,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01327,7207 BEP,bearings,,,7207 BEP,,,992.25,0,false,in_stock,Радіально-упорний. Маркування: 7207 BEP.,,,,,,,радіально-упорний,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01328,7208 B(46208) Kinex,bearings,Kinex,Словаччина,7208 B(46208) Kinex,,,384.0,0,false,in_stock,Радіально-упорний. Маркування: 7208 B(46208) Kinex.,,,,,,,радіально-упорний,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01329,7209 BEP,bearings,,,7209 BEP,,,1256.85,0,false,in_stock,Радіально-упорний. Маркування: 7209 BEP.,,,,,,,радіально-упорний,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01330,7210 BEP,bearings,,,7210 BEP,,,1620.0,0,false,in_stock,Радіально-упорний. Маркування: 7210 BEP.,,,,,,,радіально-упорний,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01331,7304 B,bearings,,,7304 B,,,264.0,0,false,in_stock,Радіально-упорний. Маркування: 7304 B.,,,,,,,радіально-упорний,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01332,7306 BEP SKF,bearings,SKF,Швеція,7306 BEP SKF,,,1280.0,0,false,in_stock,Радіально-упорний. Маркування: 7306 BEP SKF.,,,,,,,радіально-упорний,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01333,7307 B,bearings,,,7307 B,,,1190.7,0,false,in_stock,Радіально-упорний. Маркування: 7307 B.,,,,,,,радіально-упорний,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01334,7307 BEC,bearings,,,7307 BEC,,,1151.01,0,false,in_stock,Радіально-упорний. Маркування: 7307 BEC.,,,,,,,радіально-упорний,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01335,7308 BE RS,bearings,,,7308 BE RS,,,2778.3,0,false,in_stock,Радіально-упорний. Маркування: 7308 BE RS.,,,,,,,радіально-упорний,,,,,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01336,7309 BEP,bearings,,,7309 BEP,,,1323.0,0,false,in_stock,Радіально-упорний. Маркування: 7309 BEP.,,,,,,,радіально-упорний,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01337,7310 BEP,bearings,,,7310 BEP,,,2640.0,0,false,in_stock,Радіально-упорний. Маркування: 7310 BEP.,,,,,,,радіально-упорний,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01338,7313 BEM,bearings,,,7313 BEM,,,3413.15,0,false,in_stock,Радіально-упорний. Маркування: 7313 BEM.,,,,,,,радіально-упорний,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01339,7317 SKF,bearings,SKF,Швеція,7317 SKF,,,10584.0,0,false,in_stock,Радіально-упорний. Маркування: 7317 SKF.,,,,,,,радіально-упорний,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01340,78TKL4801AR,bearings,,,78TKL4801AR,,,1653.75,0,false,in_stock,Підшипник. Маркування: 78TKL4801AR.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01341,F-801837,bearings,,,F-801837,,,1574.37,0,false,in_stock,Підшипник. Маркування: F-801837.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01342,F-803197,bearings,,,F-803197,,,2646.0,0,false,in_stock,Підшипник. Маркування: F-803197.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01343,F-804312.01.PRL FAG,bearings,FAG,Німеччина,F-804312.01.PRL FAG,,,19691.21,0,false,in_stock,Підшипник. Маркування: F-804312.01.PRL FAG.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01344,805093,bearings,,,805093,,,420.0,0,false,in_stock,Підшипник. Маркування: 805093.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01345,F-805561.03,bearings,,,F-805561.03,,,3307.5,0,false,in_stock,Підшипник. Маркування: F-805561.03.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01346,F-806159.01.KL FAG,bearings,FAG,Німеччина,F-806159.01.KL FAG,,,1312.75,0,false,in_stock,Підшипник. Маркування: F-806159.01.KL FAG.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01347,81104 M,bearings,,,81104 M,,,793.8,0,false,in_stock,Упорний роликовий. Маркування: 81104 M.,,,,,,,упорний роликовий,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01348,81209 SKF,bearings,SKF,Швеція,81209 SKF,,,1592.8,0,false,in_stock,Упорний роликовий. Маркування: 81209 SKF.,,,,,,,упорний роликовий,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01349,F-846067.01,bearings,,,F-846067.01,,,3344.88,0,false,in_stock,Підшипник. Маркування: F-846067.01.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01350,88501/2AS,bearings,,,88501/2AS,,,701.19,0,false,in_stock,Підшипник. Маркування: 88501/2AS.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01351,61900 RS ZVL,bearings,Kinex,Словаччина,61900 RS ZVL,,,50.4,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61900 RS ZVL.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01352,61900 ZZ,bearings,,,61900 ZZ,,,132.3,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61900 ZZ.,,,,,,,радіальний кульковий однорядний,,,,1,,ZZ,,,,,,,,,,,,,,,,,
TB-BRG-01353,61901 RS,bearings,,,61901 RS,,,150.0,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61901 RS.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01354,61901 RS ZVL,bearings,Kinex,Словаччина,61901 RS ZVL,,,54.0,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61901 RS ZVL.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01355,61902 RS,bearings,,,61902 RS,,,180.0,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61902 RS.,,,,,,,радіальний кульковий однорядний,,,,1,,2RS,,,,,,,,,,,,,,,,,
TB-BRG-01356,61902 RS ZVL,bearings,Kinex,Словаччина,61902 RS ZVL,,,66.0,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61902 RS ZVL.,,,,,,,радіальний кульковий однорядний,,,,1,,2RS,,,,,,,,,,,,,,,,,
TB-BRG-01357,61903 RS,bearings,,,61903 RS,,,198.48,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61903 RS.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01358,61903 RS ZVL,bearings,Kinex,Словаччина,61903 RS ZVL,,,66.15,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61903 RS ZVL.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01359,61904 RS,bearings,,,61904 RS,,,238.14,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61904 RS.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
